#{"t_start": 1769367357.0421128, "env_id": "CustomAnt-source-v5"}
r,l,t
5.121093,29,0.044605
-55.812167,39,0.098793
-94.968781,48,0.165787
-65.1141,40,0.221823
-43.345546,69,0.317508
-34.041767,39,0.371799
-51.706296,40,0.427642
-12.831902,30,0.46978
-108.738818,88,0.592312
-167.769148,121,0.76435
-98.378889,79,0.875724
-103.88351,55,0.95381
-95.320964,64,1.044065
-16.056499,46,1.109779
-115.375319,91,1.238749
-166.969262,169,1.507872
-151.310323,101,1.660251
-10.179824,13,1.680234
-38.962764,39,1.736207
-24.065129,23,1.769989
-27.216721,38,1.830498
-8.496665,16,1.857612
-59.259199,53,1.94311
-34.862482,37,1.999858
-99.896554,103,2.145712
-86.054922,59,2.227557
-81.746827,55,2.304357
-101.365508,81,2.423561
-1048.639996,1000,4.959329
-40.683473,38,5.017072
-1031.376209,1000,6.526626
-28.100593,31,6.570403
-38.235181,32,6.615849
-128.97712,69,6.714725
-16.979829,20,6.74415
-36.166732,29,6.787842
-21.96179,60,6.876732
-42.48766,25,6.915217
-31.048002,24,6.951878
-215.764339,191,8.065672
-27.091986,25,8.100998
-123.484021,102,8.243682
-35.724284,34,8.291278
-37.737549,40,8.349249
-61.874927,38,8.403657
-164.1572,164,8.633144
-54.336326,36,8.68333
-9.945694,36,8.73381
-36.494463,29,8.774415
-31.328883,59,8.856474
-45.230388,29,8.897103
-73.968543,69,8.99431
-41.424088,54,9.071414
-2.218826,17,9.095253
-129.673679,113,9.258631
-48.307171,47,9.331675
-8.320567,40,9.388232
-34.119435,36,9.438982
-30.004738,45,9.502768
-50.756161,74,9.610011
-70.574334,52,9.690098
-108.220044,129,9.880305
-44.721315,30,9.922349
-27.36101,28,9.961686
-118.955348,71,10.060916
-6.391552,13,10.079286
-16.670256,13,10.097685
-24.165726,20,10.125893
-105.401009,111,10.282846
-1020.711829,1000,12.615822
-15.645909,13,12.634244
-65.705429,71,12.733676
-1075.268598,1000,14.143796
-17.455538,30,14.185833
-79.037301,57,14.265073
-21.423784,24,14.299327
-20.395905,49,14.367515
-104.300472,66,14.459677
-26.987581,29,14.500722
-25.841668,17,14.524606
-29.490125,62,14.611048
-1077.582166,994,16.835074
-73.542297,68,16.930266
-36.802543,19,16.956953
-98.695309,79,17.06898
-99.001279,86,17.188958
-325.137398,335,17.654663
9.135299,17,17.678382
-110.952351,112,17.833868
-94.249783,96,17.967758
-18.058063,15,17.988904
-77.707878,58,18.070841
-29.6955,26,18.107319
-186.976368,184,19.198538
-68.249405,54,19.274726
-19.900555,47,19.340649
-98.944824,49,19.409786
-55.14662,36,19.460703
-46.565414,25,19.497099
-616.253378,604,20.348931
-9.346184,20,20.376856
-54.804905,89,20.50167
-105.949126,105,20.650389
-20.528296,36,20.701543
-29.681456,18,20.726919
7.252023,23,20.759069
-24.639289,33,20.805336
-38.163464,32,20.849865
-116.348238,181,21.101954
-129.301396,100,21.24138
-37.575543,23,21.273515
-6.12385,14,21.293113
-58.551739,53,21.366637
-74.862463,48,21.433501
-8.863947,11,21.448951
-40.085038,24,21.482607
-40.293682,39,21.537284
-47.958578,39,21.591881
-158.335238,122,21.761882
-36.859979,53,21.835732
-103.747345,72,21.936014
-80.202988,55,22.012706
-42.211767,48,22.917498
-21.718201,38,22.971071
-17.174956,20,22.999185
-201.399451,143,23.199286
-120.315305,85,23.318324
-21.216309,26,23.356677
-16.783617,16,23.379348
-231.660301,173,23.620463
-54.025494,26,23.65751
-42.300341,46,23.722463
-14.616184,38,23.775747
-30.310652,36,23.826345
-37.339449,21,23.855841
-328.156092,195,24.127608
-25.511652,25,24.162758
-50.993003,53,24.236481
-106.776318,106,24.384078
-44.462399,57,24.464097
-968.909298,1000,26.681762
-77.960789,60,26.766264
-35.950573,40,26.822478
-26.997956,24,26.856473
-59.02886,103,26.999946
-10.071369,16,27.022533
-101.527677,79,27.133
-68.792304,46,27.198915
-84.361938,51,27.26997
-19.938819,22,27.300754
-30.432476,19,27.327319
-953.081381,1000,28.731427
-41.540505,32,28.776406
-59.860104,30,28.818713
-23.258656,38,28.871554
-100.979866,51,28.942508
-18.517919,27,28.980233
-27.340018,56,29.058298
-50.614119,41,29.115468
-55.523922,46,29.179482
-9.517167,15,29.200443
-103.019824,114,29.358817
-66.712528,50,29.428449
-56.86927,43,30.304916
-9.804107,13,30.323364
-3.471836,121,30.492655
-34.943153,31,30.536098
-4.041103,30,30.578129
-2.818012,11,30.593621
-117.996145,104,30.74127
1.927624,24,30.77485
-40.160169,52,30.847459
-13.355279,12,30.864258
-27.219835,72,30.964904
-38.302834,59,31.047331
4.855292,24,31.080927
-82.982102,86,31.201604
-30.365288,42,31.260851
-70.001473,50,31.331312
-24.042038,54,31.407252
-55.718948,60,31.491851
-16.198196,21,31.521229
-12.450642,42,31.579938
-1012.403921,1000,32.987337
-13.555039,12,33.00452
-29.030003,35,33.053758
-14.252007,11,33.069232
-26.042555,27,33.10695
-77.991562,81,34.07014
-116.949265,69,34.167354
-20.239506,25,34.202518
-85.373296,46,34.26688
-4.952338,17,34.291192
-11.8037,15,34.312407
-36.600488,21,34.34277
-35.461245,46,34.408503
-76.553528,89,34.533712
-25.361045,24,34.567454
-31.529122,30,34.609462
-34.217792,34,34.658138
-22.256327,16,34.680687
-59.949762,63,34.769363
-108.935236,117,34.932385
-119.609562,81,35.045255
13.578589,81,35.158391
-31.610225,28,35.198105
-60.4685,41,35.2562
-3.568758,24,35.290275
-126.972273,186,35.550291
-6.363996,16,35.572713
-253.962119,219,35.879074
-1007.996226,1000,38.132933
-928.562444,1000,39.544544
-24.263442,18,39.570019
-47.298363,48,39.637266
-32.834176,43,39.69748
-115.695177,80,39.808967
-38.490527,47,39.874956
-25.241551,22,39.905902
-16.729905,12,39.922803
-171.73044,98,40.059117
-22.666268,13,40.077483
-61.299981,61,40.162376
-2.433653,17,40.186103
-79.125587,50,40.256936
-58.146052,46,40.321641
-14.892959,11,40.337082
-28.105186,23,40.369521
-44.271576,55,40.446525
-82.050376,49,40.515331
-15.491352,13,40.533626
-153.018116,80,41.456376
-22.507052,18,41.482014
-16.600055,18,41.507506
-64.130563,88,41.630118
-110.289417,108,41.781521
-47.035903,42,41.840049
-69.019467,67,41.934005
-33.009222,33,41.980111
-85.162704,77,42.087493
-37.37698,29,42.128109
-63.153989,58,42.209432
-56.391325,31,42.252882
-5.500748,14,42.272662
-72.485507,60,42.356552
-24.097196,14,42.37624
-15.489324,12,42.393368
-23.408904,19,42.420111
-44.918211,35,42.46926
-22.906244,43,42.529293
-30.680744,17,42.553213
-29.774842,39,42.607505
-15.556606,24,42.6414
-18.882195,14,42.661134
-46.320066,57,42.740843
-50.844725,44,42.80241
-124.867356,88,42.925626
-27.160283,34,42.973238
-55.899861,80,43.085048
-945.101243,1000,45.329111
-18.984616,19,45.355981
-907.626107,1000,46.765297
-13.423752,13,46.783754
-256.989828,152,46.995513
-11.66568,29,47.036119
-82.977847,53,47.110054
-35.586702,28,47.149269
-41.007475,56,47.227379
-27.412048,30,47.269839
-39.412719,58,47.351657
-27.94686,40,47.40781
-33.410035,43,47.468036
-58.936726,40,47.524178
-9.633974,13,47.542533
-30.561363,18,47.567792
-57.950252,53,47.64214
-52.223693,133,47.827271
-43.623149,57,47.906886
-49.059127,37,47.958638
-20.697596,14,47.978312
-54.562207,53,48.864861
-62.639159,58,48.946656
-27.166383,19,48.9733
-19.867579,13,48.991711
-955.600663,1000,50.404776
-29.592554,37,50.456787
-45.288402,34,50.504258
2.949848,25,50.539389
-46.562499,83,50.655642
-30.496736,21,50.68527
-16.175333,17,50.709404
-132.929164,111,50.863935
-80.679893,82,50.97863
-6.55216,28,51.017671
-16.110978,29,51.058534
-65.101742,63,51.147017
-49.938653,70,51.244673
-64.042467,60,51.329277
-37.787811,52,51.401999
-107.870829,86,51.522336
-955.853318,1000,53.745528
-83.933326,106,53.893424
-228.371389,217,54.198551
-753.15362,821,55.352823
6.356151,44,56.223681
-98.622059,95,56.357601
-13.752435,25,56.392458
-41.130484,94,56.523538
-54.356424,49,56.59167
-22.593766,94,56.722849
-47.460051,45,56.785403
-55.847944,43,56.845391
-62.354016,86,56.965716
-11.015036,38,57.018591
-15.688048,12,57.035496
-68.956225,47,57.101105
-93.332178,108,57.251682
-28.540777,18,57.27694
-16.390021,19,57.304777
-114.709503,89,57.428771
-50.267099,49,57.497331
-10.704576,21,57.526879
-35.317961,36,57.577462
-105.662103,97,57.713052
-53.695786,55,57.789784
-887.109735,1000,60.03679
-19.706009,54,60.112997
-27.738622,71,60.212882
-11.28337,54,60.28843
-109.237462,188,60.551781
-73.545188,67,60.64617
-45.431147,32,60.691132
-47.58199,37,60.74306
0.230121,13,60.761423
-23.844374,20,60.789482
-106.100599,111,60.944602
-30.723287,39,60.998967
-10.321641,20,61.027025
-153.017925,218,61.332736
-21.771867,17,61.356987
2.735251,18,61.382409
-37.992772,22,61.413415
-154.468094,131,61.596766
-4.580913,12,61.613755
-70.469571,102,61.756563
-24.168631,88,61.879021
-71.393965,70,61.976921
-16.766436,33,62.022976
-102.288128,81,62.136107
-81.276427,54,62.211912
-878.048735,1000,64.450239
-37.0947,34,64.498189
-37.091798,21,64.527891
-21.346265,24,64.5616
-40.845085,65,64.652454
-43.259226,38,64.705837
-4.571925,37,64.757746
-20.230085,21,64.787199
-14.016235,14,64.80686
-41.654529,39,64.861434
-15.060298,28,64.901085
-30.647363,94,65.033294
-16.876157,29,65.073971
-20.898955,32,65.119004
-7.612391,14,65.13864
-17.517389,12,65.155543
-176.804408,111,65.312373
-86.453635,92,65.44067
-9.587255,32,65.485389
-22.526489,47,65.550994
-54.700639,70,65.649177
-24.618916,29,65.689704
-23.07998,22,65.720437
-69.237909,94,65.851129
-3.907432,23,65.883333
-81.720497,75,65.987933
-21.271981,30,66.02985
5.547493,41,66.087141
-15.298352,13,66.105388
-63.883753,55,66.18295
-51.547028,43,66.243137
-3.126694,14,66.262848
-30.818271,36,66.313106
-62.640775,47,66.378638
-176.976985,178,67.446114
-40.19114,39,67.500813
-170.95314,169,67.736146
-51.828922,102,67.878415
-22.209628,15,67.899476
-97.389279,121,68.068385
-93.070645,116,68.229881
-68.315269,37,68.28149
-18.004139,13,68.299962
-13.001036,15,68.321174
-50.762654,37,68.373157
-142.601096,202,68.654721
-854.881303,1000,70.064148
-44.373896,22,70.095092
-151.227571,193,71.189026
-85.961349,99,71.32896
-11.119112,33,71.375249
-46.733905,73,71.476973
-47.053722,31,71.520416
-75.43574,66,71.612301
-23.243767,30,71.654329
-77.284972,66,71.746214
-73.875408,38,71.799349
-52.672415,84,71.916419
-111.333592,67,72.010356
-878.231299,1000,73.418222
-44.099829,34,73.465889
-48.728133,45,73.528712
-62.698509,55,73.605438
-89.627458,93,73.734886
-5.211377,20,73.762965
-59.338762,38,73.816002
-788.671352,1000,76.049929
7.701672,33,76.09674
-22.385904,17,76.120609
-21.459833,20,76.148503
-99.509576,107,76.297518
-7.942542,53,76.371607
-3.312364,30,76.413599
-111.348693,65,76.504176
-23.325865,17,76.528088
-40.769625,32,76.57281
-4.554451,13,76.591007
-25.934551,21,76.620308
-67.172654,72,76.720475
-772.705674,1000,78.938368
-52.936305,23,78.970808
-2.808223,18,78.99595
-93.762972,39,79.050376
-6.023368,12,79.067342
-50.183567,52,79.140398
-203.733328,134,79.326613
8.729411,53,79.400562
-37.568518,48,79.467751
-25.292711,19,79.494328
-22.505173,45,79.55766
-11.431719,20,79.585766
-18.586024,33,79.633509
-65.785538,64,79.723249
-20.946694,33,79.769911
-8.411484,46,79.834309
-6.961557,12,79.851297
-51.766628,119,80.018449
-12.155902,11,80.033922
-12.256736,24,80.067685
-7.130631,16,80.090239
-61.361653,86,80.211261
-121.560096,98,80.348829
-75.552668,107,80.498363
-18.264227,24,80.531992
-6.699943,12,80.549238
-15.389748,16,80.571689
-11.086176,24,80.605174
-34.529589,22,80.636189
-7.578133,31,80.679826
-41.941699,40,80.73576
-28.458144,52,80.808657
-11.548304,14,80.828244
-13.881831,26,80.864595
-133.261817,107,81.014153
-6.932089,81,81.128057
-73.797425,77,81.236065
-79.826659,58,82.129767
-114.674232,82,82.24425
-23.881531,20,82.272276
-19.524816,53,82.346373
-91.328382,79,82.457059
16.146775,86,82.577421
-38.427122,29,82.61813
-76.965954,34,82.665469
10.919761,16,82.687963
-44.089383,73,82.789815
-48.478208,41,82.847202
-18.995177,17,82.871121
-73.744073,64,82.960221
-3.111317,20,82.988136
-78.707303,89,83.111925
-29.012961,32,83.156534
-273.322305,283,83.551496
-65.17308,59,83.633547
-58.723239,57,83.713021
1.927283,39,83.767894
-22.448999,44,83.829418
-4.926728,17,83.853484
-33.456676,18,83.878868
-109.679698,54,83.95417
-42.031215,27,83.991846
-1.504121,19,84.018598
-19.951123,36,84.06892
-9.147002,19,84.095551
-1.943788,13,84.113933
5.077292,26,84.150245
-17.554622,30,84.192281
-13.455822,31,84.235643
-32.020531,116,84.397736
-29.533385,34,84.446602
-25.900603,18,84.472843
-62.787473,108,84.623304
-90.212651,110,84.775964
-24.368466,22,84.806853
-21.222722,25,84.841826
-21.184431,32,84.886523
-82.916584,78,85.827108
-28.470579,30,85.869326
-33.242794,46,85.933391
-90.980983,82,86.047701
-30.697725,52,86.123726
-88.233008,121,86.292773
-16.581997,38,86.345963
-10.499025,15,86.367153
-80.595338,92,86.495925
-3.968048,54,86.57163
-55.526357,43,86.631559
-1.841394,14,86.651239
-27.574219,21,86.68072
-19.488597,20,86.708648
-50.306923,55,86.785313
-78.315602,80,86.896842
-23.13271,58,86.977725
-4.804992,46,87.04195
-39.615514,65,87.132655
-53.273255,34,87.179861
-39.044544,37,87.231605
-13.569338,30,87.273519
-7.905145,15,87.29472
-18.299698,45,87.35796
-9.714045,24,87.391614
-40.97007,109,87.544245
-40.740795,62,87.630686
-4.429823,36,87.68102
-13.319943,124,87.853501
-8.431067,23,87.885694
-22.676001,40,87.941551
-18.928084,12,87.958518
-25.414908,39,88.013031
-32.035338,14,88.032729
-14.086476,32,88.077344
-51.00798,36,88.127441
-31.335698,33,88.173607
-812.903339,1000,90.399625
-826.733884,1000,91.807019
-3.352078,45,91.87006
-14.611114,19,91.896717
-899.091301,1000,94.114927
-6.018022,43,94.17541
-48.479316,24,94.209058
-64.992291,108,94.359761
-5.868957,34,94.407263
-864.25946,1000,95.814302
-47.944838,33,95.860972
-4.789703,14,95.880714
-3.633915,26,95.917109
2.795014,51,95.988236
-5.112226,28,96.027551
-4.901052,31,96.901849
-8.197961,11,96.917452
-19.303631,31,96.961129
-53.357919,52,97.033828
-16.620352,24,97.067493
-5.423871,13,97.085905
-9.783441,25,97.120933
3.330818,39,97.175441
-200.99183,226,97.49227
-54.668576,109,97.644134
-7.059472,103,97.787676
-102.488019,99,97.926805
-21.494132,37,97.978567
-28.690105,46,98.042962
-12.652141,15,98.064087
-20.549945,23,98.096209
-7.524018,14,98.115921
-21.557653,15,98.137048
-17.574644,13,98.155394
-33.606567,36,98.205762
16.79386,42,98.26447
-23.694696,46,98.328808
-146.575746,138,98.521416
-788.968216,1000,100.759933
-89.527868,94,100.891739
-13.788336,25,100.927167
-11.139868,25,100.962313
-35.529618,19,100.988955
-104.852083,75,101.093438
2.467991,14,101.112899
30.909745,35,101.161456
-39.799684,54,101.23673
-9.120725,26,101.273419
16.315077,48,101.341986
-35.395007,100,101.482375
-27.60295,47,101.548131
-10.352712,12,101.565067
