#{"t_start": 1769362602.754358, "env_id": "CustomAnt-source-v5"}
r,l,t
3.146383,28,0.045675
-27.219908,20,0.073859
-90.867834,82,0.188978
-126.653014,105,0.335588
-45.458631,67,0.431153
-50.64858,26,0.467762
-76.95742,47,0.533327
-79.536649,67,0.627101
-47.7673,28,0.667084
-0.813686,10,0.681292
-9.240001,15,0.702467
-29.020693,43,0.762805
-37.330024,19,0.789657
-8.655938,32,0.834462
-101.193844,57,0.914319
-18.876331,29,0.95499
-38.48792,30,0.996933
-31.966705,25,1.032133
-19.288246,12,1.049154
-180.618835,112,1.205485
-69.284868,43,1.265582
-22.917118,16,1.288079
-343.983583,264,1.65669
-34.841892,17,1.68062
-53.533823,68,1.776479
-111.643472,135,1.965289
-56.772944,55,2.042115
-1047.176849,1000,4.332542
-26.850429,52,4.405307
-181.73191,132,4.589906
-95.864069,73,4.691874
-58.176697,61,4.776625
-15.120777,95,4.909697
-52.203568,46,4.973876
-86.913283,99,5.113819
-42.804357,138,5.306656
-136.486254,88,5.430568
-88.031025,92,5.559265
0.109078,23,5.591711
-75.104037,56,5.671049
-45.621578,43,5.731097
-9.910839,12,5.748033
-84.144719,78,5.857254
-72.330553,81,5.970277
-28.269294,33,6.016352
-79.069016,77,6.124072
-51.874741,34,6.171617
-149.212113,72,6.272846
-41.282455,42,6.331605
-34.635807,53,6.405854
-22.123007,21,6.435262
-35.490132,16,6.457956
-121.330123,72,6.558555
-46.865072,50,6.628761
-16.470102,68,7.553636
-26.2019,31,7.597636
-22.872698,33,7.643782
-36.925379,20,7.672494
-14.021097,14,7.692257
-32.441604,30,7.734584
-84.417321,76,7.841259
-16.019195,46,7.906074
-100.813151,56,7.984647
-71.952648,39,8.039325
-24.255312,27,8.077543
-133.158655,88,8.200522
-67.229361,63,8.28888
-16.503131,14,8.308657
-116.615815,91,8.436654
-67.459575,61,8.52248
-24.613828,23,8.554881
-14.477,11,8.570379
-2.625087,31,8.613789
-13.602439,11,8.629559
-48.374981,38,8.682933
-1078.680926,1000,10.106941
-1052.52258,1000,12.372014
-37.697505,34,12.419786
-822.887385,801,13.551217
-28.305019,23,13.583807
-33.475139,29,13.624651
-0.725075,19,13.651253
1.904154,20,13.679771
-88.79474,59,13.762313
-37.24403,52,13.835853
-116.5941,62,13.922846
-34.977466,36,13.973608
-2.826378,58,14.054669
-43.844215,28,14.094505
-0.422097,56,15.008243
-103.359219,79,15.118886
-46.805558,60,15.202903
-53.423655,56,15.281532
-43.676364,58,15.362398
-16.203703,36,15.413284
-9.985138,23,15.445587
-75.233765,67,15.539398
-31.155697,49,15.607752
-21.019867,10,15.621915
-204.998137,149,15.831595
-937.867807,1000,17.23963
-17.964525,13,17.258096
-148.836947,82,17.373344
-178.351955,190,17.639604
-86.866336,89,17.765137
-28.369052,26,17.801713
-63.632261,60,18.753548
-62.499246,40,18.809997
-116.547778,79,18.922589
-49.191052,24,18.95665
-21.909219,30,18.99883
-21.789181,16,19.02173
-8.502137,12,19.038695
-28.37748,43,19.09907
-52.379742,55,19.176192
-59.681421,58,19.257924
-23.738899,17,19.282063
-138.423547,83,19.39856
-124.394308,110,19.552586
-30.710177,38,19.605817
-148.593698,128,19.78549
-167.123733,112,19.943072
-113.970375,127,20.120595
-5.159076,39,20.175292
-132.022258,87,20.297761
-63.37029,64,20.38852
-61.811233,63,20.476748
-53.072903,53,20.551272
-26.071003,20,20.579638
-13.397907,15,20.600745
1.094455,34,20.648428
-13.121026,20,20.67718
-36.86509,32,20.722517
-13.23076,12,20.739493
-75.489871,55,20.816243
-10.337623,94,20.948078
-175.403798,174,21.19128
-20.793593,21,21.220763
-53.335732,50,21.290891
-30.594743,23,21.323213
