#{"t_start": 1769419321.6408699, "env_id": "CustomHopper-source-v0"}
r,l,t
7.437971,15,0.02189
6.941249,13,0.037742
47.940358,35,0.078585
18.025342,18,0.099805
6.609575,13,0.115242
4.452268,30,0.149765
5.366324,19,0.172019
5.510886,17,0.192297
7.402108,14,0.208786
8.263837,14,0.224929
5.520813,15,0.242555
19.782612,22,0.268318
14.202235,19,0.290665
6.888289,13,0.305875
7.870553,12,0.319854
21.793212,22,0.345552
7.868656,12,0.359646
8.222963,12,0.373469
9.70417,16,0.392046
5.718486,23,0.419092
6.585815,10,0.430588
11.190688,16,0.449239
9.484322,15,0.466648
23.602205,23,0.493243
13.990851,20,0.51684
4.13806,8,0.526432
4.565692,25,0.556044
5.928403,17,0.575803
5.045947,25,0.605459
8.124053,25,0.634796
7.650662,13,0.650299
5.696552,10,0.662153
6.226798,11,0.675044
10.491818,13,0.690502
58.131117,40,0.736279
3.831999,10,0.748021
4.773743,10,0.760119
9.850735,14,0.77667
34.946742,37,0.821177
8.639667,20,0.844893
12.072047,14,0.861534
5.860061,11,0.874248
20.331339,23,0.901819
4.645954,10,0.913793
12.947778,21,0.938713
11.683292,13,0.954115
9.92416,12,0.968411
9.441614,14,0.985126
5.476116,24,1.014314
6.095738,28,1.04839
5.321625,10,1.060089
6.523673,13,1.075283
7.957021,10,1.087462
4.260212,10,1.099047
5.28996,10,1.110781
6.585381,11,1.124914
23.943378,25,1.156794
10.182517,17,1.17705
1.289679,16,1.195657
8.157169,21,1.221318
17.480017,22,1.247194
11.203558,19,1.26923
15.524584,33,1.307369
10.286158,14,1.323691
6.078751,11,1.336071
10.227768,14,1.352328
8.7664,22,1.378135
9.904021,12,1.392369
5.438293,11,1.404619
5.070466,10,1.416433
5.792262,14,1.432909
6.165073,12,1.44689
70.073973,43,1.496787
7.983559,14,1.513271
7.434201,13,1.528301
7.571842,15,1.545792
56.412495,47,1.600022
4.94241,9,1.610391
5.439721,16,1.629267
8.45018,16,1.647909
10.161497,17,1.667911
8.440087,12,1.681898
5.561526,9,1.692193
3.759521,8,1.700929
7.900975,12,1.714571
10.073198,14,1.730922
7.637093,11,1.74365
3.844036,8,1.752807
4.914288,9,1.763327
27.322714,26,1.794096
9.769945,14,1.810331
3.586685,19,1.832482
7.35627,23,1.85911
38.275843,31,1.895286
3.779694,19,1.917514
7.974057,16,1.936318
10.779526,14,1.952674
8.966302,13,1.967568
8.951426,17,1.987397
21.384767,27,2.019106
10.775017,17,2.039201
6.948355,10,2.050892
10.86994,27,2.082408
10.556894,16,2.101046
13.105087,24,2.129226
4.516303,9,2.139593
4.593528,13,2.154921
20.848176,43,2.205324
5.770167,10,2.216827
10.07662,15,2.23441
5.233412,24,2.262414
42.974402,35,2.30293
70.297358,58,2.369896
16.468018,22,2.395392
15.524963,29,3.224833
12.214428,28,3.257549
45.824921,41,3.305492
8.988316,26,3.335879
29.605847,25,3.365065
35.239954,38,3.409418
71.326313,41,3.45706
71.886594,44,3.508096
36.876574,34,3.547536
5.697375,12,3.56173
39.118841,29,3.595427
20.295031,33,3.634204
5.509775,11,3.647246
10.170168,21,3.671837
27.820623,28,3.704923
20.071457,24,3.733176
123.139263,64,3.808209
10.17122,16,3.826896
19.236286,22,3.852535
27.069427,24,3.880545
36.009135,32,3.917845
14.600212,29,3.951621
12.138814,19,3.973752
76.168973,49,4.030357
89.91512,63,4.10388
49.322421,47,4.158888
10.908091,13,4.173985
7.687957,19,4.196308
13.790668,17,4.216261
4.212764,8,4.225724
24.6453,32,4.263168
147.656163,69,4.342906
16.213265,16,4.361676
7.443309,14,4.377999
15.949336,19,4.400401
33.268883,33,4.439136
26.862832,23,4.465982
16.406048,22,4.492456
3.190927,10,4.504167
25.852766,26,4.534714
5.809308,10,4.546257
73.962006,67,4.624139
26.509146,24,4.652215
18.866646,21,4.676857
11.278935,24,4.705001
20.10564,24,4.732919
21.681376,35,4.773599
5.329337,10,4.785693
6.935426,12,4.799721
109.688849,55,4.863442
106.368539,68,4.942159
5.611577,12,4.956234
20.360257,24,4.984318
10.836412,13,4.999538
22.682465,20,5.022849
6.17209,31,5.059321
10.845989,14,5.075634
37.025047,30,5.110709
17.768666,18,5.131717
21.352226,21,5.156207
14.549896,29,5.190044
8.980245,15,5.208056
5.673324,9,5.21858
8.306032,22,5.24435
64.389152,42,5.293298
47.308291,29,5.327094
18.357112,24,5.355012
42.969284,37,5.398278
21.082207,21,5.422863
14.262983,20,5.44636
11.09809,14,5.462763
4.242462,21,5.487395
25.768284,28,5.520096
37.323523,29,5.553684
11.913456,20,5.577124
36.31904,35,6.432445
127.861971,66,6.510565
97.917831,51,6.571177
8.741919,14,6.587672
38.530925,40,6.635051
12.554878,18,6.656492
71.569219,43,6.708297
13.977688,18,6.729599
8.987338,19,6.752341
54.089786,32,6.790362
7.364905,13,6.806165
30.078237,27,6.838351
8.041358,12,6.852512
125.67657,62,6.925543
9.211983,16,6.945036
35.500938,51,7.005014
92.680781,51,7.065733
14.72979,20,7.089668
52.107967,30,7.125267
71.48303,49,7.182945
17.371202,18,7.204298
117.924002,59,7.273924
8.031402,15,7.291723
96.110947,68,7.372837
27.42964,24,7.401407
132.789608,69,7.48292
17.634735,25,7.512661
10.468613,18,7.533974
99.76508,57,7.601104
52.934852,63,7.675581
70.356098,66,7.754099
93.007777,61,7.826802
52.409012,51,7.88739
16.747739,20,7.911316
3.829826,9,7.921921
143.12785,73,8.008116
13.3888,15,8.026069
114.990269,63,8.100369
23.869796,32,8.138826
223.83707,123,8.284224
68.628034,44,8.336458
40.460344,31,8.372856
9.579784,16,8.392049
38.225333,30,8.427498
74.462824,53,8.490745
26.739988,25,8.520437
11.458787,28,8.553825
23.507478,23,8.581073
11.306295,17,8.601358
66.313535,40,8.6489
23.141393,24,8.677434
10.434582,19,8.700632
3.357719,8,8.710341
19.01344,25,8.740407
24.293985,20,8.764185
5.292479,15,8.782354
71.038229,46,8.837519
149.9636,73,9.743579
196.141036,110,9.876526
109.778753,62,9.951796
7.002337,11,9.965027
103.313521,54,10.030289
180.527719,105,10.156141
96.373338,66,10.233572
28.79339,24,10.26158
14.65548,17,10.281293
94.738382,66,10.358362
94.517335,55,10.422692
205.75458,94,10.531801
48.069461,48,10.587636
114.11401,58,10.655329
128.455832,63,10.728473
110.937958,56,10.794251
60.218987,54,10.85864
95.396108,53,10.921752
110.835972,61,10.993816
65.047182,40,11.041356
132.124631,68,11.121751
30.835367,23,11.149045
91.107109,49,11.207301
18.568299,20,11.231151
124.063703,62,11.304695
34.305784,28,11.338294
30.87383,28,11.371713
182.824096,80,11.467098
109.420176,62,11.540672
67.766824,39,11.586903
122.158371,73,11.67388
125.187608,63,11.748797
78.905759,44,11.80128
17.366004,20,11.825166
8.402892,13,11.840502
58.004345,38,11.885576
90.939767,50,11.945081
80.129658,51,12.005996
9.378399,19,12.028738
80.186192,47,12.084832
199.950523,87,12.987869
116.226038,61,13.060724
58.254442,38,13.106468
173.10858,79,13.202418
9.982294,13,13.217912
92.190877,50,13.277892
189.701089,84,13.378963
13.934387,20,13.402964
133.966448,70,13.487674
72.581052,47,13.54441
96.70327,52,13.606815
204.752948,88,13.713068
128.540463,62,13.787501
195.702533,89,13.89391
50.340067,30,13.930177
38.915679,32,13.968706
62.988979,39,14.015359
60.808348,45,14.069185
185.025496,84,14.169984
90.571298,51,14.230941
202.296949,87,14.334745
125.409681,62,14.409283
231.073587,113,14.545549
227.708353,101,14.666904
69.291199,40,14.715018
97.23143,54,14.779104
33.937436,25,14.809418
88.9995,60,14.881335
235.429587,98,14.998215
209.032706,90,15.106549
84.609079,47,15.163248
214.489294,98,15.281139
56.525933,38,15.327123
122.56465,61,16.210726
119.287237,61,16.284287
206.76004,89,16.391766
91.424458,55,16.458293
75.123011,45,16.512727
179.694313,79,16.608122
212.741591,95,16.722146
144.815163,69,16.80504
53.579776,35,16.847515
246.635274,110,16.977756
185.472822,82,17.076211
199.787952,94,17.188426
93.232133,53,17.252106
154.691821,75,17.342009
148.076051,75,17.431466
162.442433,80,17.526284
75.838058,45,17.579919
164.304572,78,17.673299
233.772086,110,17.80505
168.426171,76,17.896129
218.17443,100,18.015659
61.775182,36,18.059308
80.03335,46,18.115048
76.489195,44,18.168222
146.507545,72,18.254922
210.988575,92,18.365956
59.06285,40,18.41401
170.438291,81,18.511421
143.025032,69,18.593901
210.038151,91,19.518284
117.150539,59,19.588744
209.373955,95,19.70189
208.409666,89,19.807839
255.453873,107,19.934165
220.618149,97,20.049843
240.865875,108,20.178287
202.701805,98,20.293848
228.528197,104,20.417638
184.024969,81,20.513072
202.374604,88,20.617835
207.169552,93,20.728363
154.622769,79,20.82233
209.343011,92,20.932018
155.161523,73,21.020212
212.155063,91,21.13012
166.314845,80,21.226405
211.229719,91,21.335764
151.672477,74,21.424313
227.523778,107,21.551775
61.767821,43,21.603838
95.912887,54,21.669017
194.248027,101,21.790272
195.011094,86,22.686254
211.016309,91,22.792565
231.20224,100,22.908465
180.558126,83,23.005504
199.528625,89,23.108797
83.764447,47,23.164198
178.21097,79,23.256577
112.36944,59,23.325426
222.086232,97,23.438666
216.929511,95,23.548942
212.356375,92,23.656716
206.029501,90,23.762119
225.160733,107,23.887198
217.336937,95,23.997891
222.805816,97,24.110642
223.477543,99,24.226506
80.708189,45,24.27878
196.622199,87,24.379495
117.162705,60,24.44951
210.779621,93,24.558583
209.116411,91,24.664048
226.906232,103,24.784375
218.844597,95,24.894696
219.520302,108,25.021505
59.683487,35,25.866998
222.728458,98,25.981077
206.836016,90,26.085682
287.153186,114,26.216368
121.895515,62,26.28793
212.414599,95,26.39729
224.672975,101,26.514374
226.504968,105,26.636916
206.529362,90,26.740962
219.267123,98,26.85484
50.518422,30,26.890046
209.113799,91,26.995619
90.404138,49,27.052723
56.592508,32,27.090093
227.726094,106,27.213192
218.932623,95,27.323126
88.642271,49,27.38013
215.20298,93,27.487814
195.059224,89,27.591434
217.799851,95,27.703406
209.004415,94,27.813861
221.136836,98,27.92908
212.382557,92,28.038595
211.137787,96,28.152744
110.213206,57,28.220578
191.259127,84,29.111003
153.423655,74,29.197557
222.057707,96,29.309258
232.114636,106,29.433465
112.095765,60,29.504904
187.602218,88,29.608994
223.865819,96,29.722728
202.388784,91,29.830349
107.321821,60,29.901385
229.475436,99,30.018252
253.558549,120,30.161041
213.855269,93,30.271338
201.984087,92,30.38008
181.848527,91,30.488227
198.833932,91,30.595408
215.26892,94,30.706484
227.392907,101,30.825074
149.049767,72,30.909901
196.970629,90,31.017021
207.623183,90,31.124369
215.853229,96,31.238241
131.450552,65,31.315083
214.1932,94,31.427102
229.684132,110,32.371098
230.519985,97,32.486454
240.419408,101,32.607319
179.5229,81,32.703937
135.133828,71,32.788601
229.926823,104,32.91311
230.271652,103,33.036162
222.363118,95,33.151056
212.79343,97,33.267967
213.688575,91,33.377428
192.263192,93,33.488418
214.875347,96,33.604043
209.573555,94,33.717512
154.975415,75,33.807971
197.322878,89,33.915452
230.237069,106,34.043302
224.321881,95,34.157838
207.527789,91,34.267111
186.914527,85,34.370107
210.756385,95,34.485719
208.959442,92,34.596191
223.648753,97,34.712336
231.621408,108,35.663006
217.570736,94,35.776476
199.94119,89,35.884177
215.827564,94,35.996953
56.201794,35,36.039227
233.611061,99,36.158786
235.125475,104,36.283432
218.948472,103,36.405105
212.723495,92,36.515994
229.027462,106,36.643401
