#{"t_start": 1769416081.1985152, "env_id": "CustomHopper-source-v0"}
r,l,t
11.665272,16,0.023505
4.080114,9,0.033988
11.472804,24,0.062672
9.128747,12,0.077031
11.189688,19,0.099649
157.687536,97,0.215904
10.593173,17,0.236327
39.920387,35,0.278258
12.595688,18,0.299596
6.834908,11,0.31269
18.915953,23,0.340208
16.827579,18,0.361461
4.973598,9,0.372016
14.456532,22,0.398172
24.379204,23,0.425566
8.884819,18,0.446856
34.465141,45,0.500539
119.477405,73,0.586245
9.643852,16,0.605473
5.577248,17,0.625609
13.781845,20,0.649568
75.635263,46,0.704699
6.399317,12,0.719372
61.776171,36,0.762413
7.788101,11,0.77539
5.970231,16,0.794348
7.221366,11,0.807426
4.223823,14,0.824254
18.841854,18,0.845667
7.17443,19,0.868385
71.385005,42,0.918164
6.117074,18,0.939772
5.548035,19,0.962411
2.604294,12,0.976812
5.936453,15,0.994605
9.305728,12,1.008873
7.118051,14,1.025437
3.869281,18,1.046856
7.77726,14,1.06355
7.620802,13,1.079087
13.766626,24,1.107715
110.237158,68,1.188988
4.696141,21,1.21399
8.913819,14,1.230418
4.574994,10,1.242325
7.773084,23,1.269709
5.565591,10,1.28166
8.882219,12,1.295812
13.273629,20,1.320507
4.527557,9,1.331256
8.155467,16,1.35035
7.590046,16,1.369437
3.737115,9,1.379904
14.290521,15,1.397859
7.406438,16,1.417116
5.988795,10,1.428722
8.405896,24,1.457424
4.346186,12,1.471716
4.633946,8,1.481131
9.461002,15,1.498868
13.186037,20,1.522571
16.938953,32,1.560417
10.730406,16,1.57913
4.629623,10,1.590999
4.565858,9,1.601708
5.11114,14,1.618272
10.871414,15,1.636266
24.115014,25,1.665995
6.231127,14,1.682907
27.901777,21,1.708115
28.867116,38,1.753043
9.368189,14,1.769698
8.05132,14,1.786101
20.804475,35,1.827802
9.308105,13,1.842936
6.302246,12,1.85713
4.871197,8,1.866518
1.695582,11,1.879746
23.868598,24,1.908887
7.859115,15,1.927002
7.463714,19,1.950044
2.789781,17,1.970428
8.819384,11,1.983364
10.804582,21,2.008163
24.348071,22,2.034348
6.570729,15,2.052114
6.093198,14,2.068854
18.628664,24,2.097432
26.529806,28,2.130996
7.276683,15,2.148994
9.266464,14,2.165729
4.561475,11,2.178603
20.345811,21,2.203324
6.960074,19,2.226053
14.16354,26,2.257119
4.828071,10,2.268831
9.674803,14,2.285494
4.403163,8,2.29486
5.046975,10,2.306556
